AAPL,Apple
GOOGL,Google Alphabet
MSFT,Microsoft
AMZN,Amazon
FB,Facebook
CMCSA,Comcast Corporation
INTC,Intel Corporation
CSCO,Cisco Systems
AMGN,Amgen
KHC,The Kraft Heinz Company
AVGO,Broadcom Limited
CELG,Celgene Corporation
PCLN,The Priceline Group
SBUX,Starbucks Corporation
TIG,TiGenix
WBA,Walgreens Boots Alliance
QCOM,QUALCOMM
CHTR,Charter Communications
GILD,Gilead Sciences
NVDA,NVIDIA
TXN,Texas Instruments
VOD,Vodafone
COST,Costco Wholesale
MDLZ,Mondelez International
NFLX,Netflix
ADBE,Adobe
BIDU,Baidu
PYPL,PayPal
JD,JD
ASML,ASML
SHPG,Shire
TMUS,T-Mobile
BIIB,Biogen
AMOV,America Movil
TSLA,Tesla
FOX,Twenty-First Century Fox
QQQ,PowerShares QQQ
YHOO,Yahoo!
REGN,Regeneron Pharmaceuticals
AMAT,Applied Materials
